doc_title,para_num,sentence_num,token_num,pos_tuple,pos,token_str,term_str,pos_group,n_char
ASHPUTTEL,0,5,11,"('had', 'VBD')",VBD,had,had,VB,3
ASHPUTTEL,0,5,12,"('melted', 'VBN')",VBN,melted,melted,VB,6
ASHPUTTEL,0,5,13,"('it', 'PRP')",PRP,it,it,PR,2
ASHPUTTEL,0,5,14,"('away', 'RB')",RB,away,away,RB,4
ASHPUTTEL,0,5,15,"('again', 'RB')",RB,again,again,RB,5
ASHPUTTEL,0,5,16,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,5,17,"('her', 'PRP')",PRP,her,her,PR,3
ASHPUTTEL,0,5,18,"('father', 'NN')",NN,father,father,NN,6
ASHPUTTEL,0,5,19,"('had', 'VBD')",VBD,had,had,VB,3
ASHPUTTEL,0,5,20,"('married', 'VBN')",VBN,married,married,VB,7
ASHPUTTEL,0,5,21,"('another', 'DT')",DT,another,another,DT,7
ASHPUTTEL,0,5,22,"('wife', 'NN')",NN,wife,wife,NN,4
ASHPUTTEL,0,6,0,"('This', 'DT')",DT,This,this,DT,4
ASHPUTTEL,0,6,1,"('new', 'JJ')",JJ,new,new,JJ,3
ASHPUTTEL,0,6,2,"('wife', 'NN')",NN,wife,wife,NN,4
ASHPUTTEL,0,6,3,"('had', 'VBD')",VBD,had,had,VB,3
ASHPUTTEL,0,6,4,"('two', 'CD')",CD,two,two,CD,3
ASHPUTTEL,0,6,5,"('daughters', 'NNS')",NNS,daughters,daughters,NN,9
ASHPUTTEL,0,6,6,"('of', 'IN')",IN,of,of,IN,2
ASHPUTTEL,0,6,7,"('her', 'PRP$')",PRP$,her,her,PR,3
ASHPUTTEL,0,6,8,"('own', 'JJ')",JJ,own,own,JJ,3
ASHPUTTEL,0,6,9,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,6,10,"('that', 'IN')",IN,that,that,IN,4
ASHPUTTEL,0,6,11,"('she', 'PRP')",PRP,she,she,PR,3
ASHPUTTEL,0,6,12,"('brought', 'VBD')",VBD,brought,brought,VB,7
ASHPUTTEL,0,6,13,"('home', 'NN')",NN,home,home,NN,4
ASHPUTTEL,0,6,14,"('with', 'IN')",IN,with,with,IN,4
ASHPUTTEL,0,6,15,"('her', 'PRP$')",PRP$,her,her,PR,3
ASHPUTTEL,0,7,0,"('they', 'PRP')",PRP,they,they,PR,4
ASHPUTTEL,0,7,1,"('were', 'VBD')",VBD,were,were,VB,4
ASHPUTTEL,0,7,2,"('fair', 'VBN')",VBN,fair,fair,VB,4
ASHPUTTEL,0,7,3,"('in', 'IN')",IN,in,in,IN,2
ASHPUTTEL,0,7,4,"('face', 'NN')",NN,face,face,NN,4
ASHPUTTEL,0,7,5,"('but', 'CC')",CC,but,but,CC,3
ASHPUTTEL,0,7,6,"('foul', 'NN')",NN,foul,foul,NN,4
ASHPUTTEL,0,7,7,"('at', 'IN')",IN,at,at,IN,2
ASHPUTTEL,0,7,8,"('heart', 'NN')",NN,heart,heart,NN,5
ASHPUTTEL,0,7,9,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,7,10,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,7,11,"('it', 'PRP')",PRP,it,it,PR,2
ASHPUTTEL,0,7,12,"('was', 'VBD')",VBD,was,was,VB,3
ASHPUTTEL,0,7,13,"('now', 'RB')",RB,now,now,RB,3
ASHPUTTEL,0,7,14,"('a', 'DT')",DT,a,a,DT,1
ASHPUTTEL,0,7,15,"('sorry', 'NN')",NN,sorry,sorry,NN,5
ASHPUTTEL,0,7,16,"('time', 'NN')",NN,time,time,NN,4
ASHPUTTEL,0,7,17,"('for', 'IN')",IN,for,for,IN,3
ASHPUTTEL,0,7,18,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,7,19,"('poor', 'JJ')",JJ,poor,poor,JJ,4
ASHPUTTEL,0,7,20,"('little', 'JJ')",JJ,little,little,JJ,6
ASHPUTTEL,0,7,21,"('girl', 'NN')",NN,girl,girl,NN,4
ASHPUTTEL,0,8,0,"('‘', 'VB')",VB,‘,,VB,1
ASHPUTTEL,0,8,1,"('What', 'WP')",WP,What,what,WP,4
ASHPUTTEL,0,8,2,"('does', 'VBZ')",VBZ,does,does,VB,4
ASHPUTTEL,0,8,3,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,8,4,"('good-for-nothing', 'NN')",NN,good-for-nothing,goodfornothing,NN,16
ASHPUTTEL,0,8,5,"('want', 'NN')",NN,want,want,NN,4
ASHPUTTEL,0,8,6,"('in', 'IN')",IN,in,in,IN,2
ASHPUTTEL,0,8,7,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,8,8,"('parlour', 'NN')",NN,parlour,parlour,NN,7
ASHPUTTEL,0,9,0,"('’', 'NNS')",NNS,’,,NN,1
ASHPUTTEL,0,9,1,"('said', 'VBD')",VBD,said,said,VB,4
ASHPUTTEL,0,9,2,"('they', 'PRP')",PRP,they,they,PR,4
ASHPUTTEL,0,10,0,"('‘', 'NN')",NN,‘,,NN,1
ASHPUTTEL,0,10,1,"('they', 'PRP')",PRP,they,they,PR,4
ASHPUTTEL,0,10,2,"('who', 'WP')",WP,who,who,WP,3
ASHPUTTEL,0,10,3,"('would', 'MD')",MD,would,would,MD,5
ASHPUTTEL,0,10,4,"('eat', 'VB')",VB,eat,eat,VB,3
ASHPUTTEL,0,10,5,"('bread', 'NN')",NN,bread,bread,NN,5
ASHPUTTEL,0,10,6,"('should', 'MD')",MD,should,should,MD,6
ASHPUTTEL,0,10,7,"('first', 'RB')",RB,first,first,RB,5
ASHPUTTEL,0,10,8,"('earn', 'VB')",VB,earn,earn,VB,4
ASHPUTTEL,0,10,9,"('it', 'PRP')",PRP,it,it,PR,2
ASHPUTTEL,0,11,0,"('away', 'RB')",RB,away,away,RB,4
ASHPUTTEL,0,11,1,"('with', 'IN')",IN,with,with,IN,4
ASHPUTTEL,0,11,2,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,11,3,"('kitchen-maid', 'NN')",NN,kitchen-maid,kitchenmaid,NN,12
ASHPUTTEL,0,12,0,"('’', 'NNS')",NNS,’,,NN,1
ASHPUTTEL,0,12,1,"('Then', 'RB')",RB,Then,then,RB,4
ASHPUTTEL,0,12,2,"('they', 'PRP')",PRP,they,they,PR,4
ASHPUTTEL,0,12,3,"('took', 'VBD')",VBD,took,took,VB,4
ASHPUTTEL,0,12,4,"('away', 'RP')",RP,away,away,RP,4
ASHPUTTEL,0,12,5,"('her', 'PRP$')",PRP$,her,her,PR,3
ASHPUTTEL,0,12,6,"('fine', 'JJ')",JJ,fine,fine,JJ,4
ASHPUTTEL,0,12,7,"('clothes', 'NNS')",NNS,clothes,clothes,NN,7
ASHPUTTEL,0,12,8,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,12,9,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,12,10,"('gave', 'VBD')",VBD,gave,gave,VB,4
ASHPUTTEL,0,12,11,"('her', 'PRP')",PRP,her,her,PR,3
ASHPUTTEL,0,12,12,"('an', 'DT')",DT,an,an,DT,2
ASHPUTTEL,0,12,13,"('old', 'JJ')",JJ,old,old,JJ,3
ASHPUTTEL,0,12,14,"('grey', 'NN')",NN,grey,grey,NN,4
ASHPUTTEL,0,12,15,"('frock', 'NN')",NN,frock,frock,NN,5
ASHPUTTEL,0,12,16,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,0,12,17,"('put', 'VB')",VB,put,put,VB,3
ASHPUTTEL,0,12,18,"('on', 'IN')",IN,on,on,IN,2
ASHPUTTEL,0,12,19,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,12,20,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,12,21,"('laughed', 'VBD')",VBD,laughed,laughed,VB,7
ASHPUTTEL,0,12,22,"('at', 'IN')",IN,at,at,IN,2
ASHPUTTEL,0,12,23,"('her', 'PRP')",PRP,her,her,PR,3
ASHPUTTEL,0,12,24,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,12,25,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,12,26,"('turned', 'VBD')",VBD,turned,turned,VB,6
ASHPUTTEL,0,12,27,"('her', 'PRP')",PRP,her,her,PR,3
ASHPUTTEL,0,12,28,"('into', 'IN')",IN,into,into,IN,4
ASHPUTTEL,0,12,29,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,12,30,"('kitchen', 'NN')",NN,kitchen,kitchen,NN,7
ASHPUTTEL,1,0,0,"('There', 'EX')",EX,There,there,EX,5
ASHPUTTEL,1,0,1,"('she', 'PRP')",PRP,she,she,PR,3
ASHPUTTEL,1,0,2,"('was', 'VBD')",VBD,was,was,VB,3
ASHPUTTEL,1,0,3,"('forced', 'VBN')",VBN,forced,forced,VB,6
ASHPUTTEL,1,0,4,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,1,0,5,"('do', 'VB')",VB,do,do,VB,2
ASHPUTTEL,1,0,6,"('hard', 'JJ')",JJ,hard,hard,JJ,4
ASHPUTTEL,1,0,7,"('work', 'NN')",NN,work,work,NN,4
ASHPUTTEL,1,1,0,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,1,1,1,"('rise', 'VB')",VB,rise,rise,VB,4
ASHPUTTEL,1,1,2,"('early', 'JJ')",JJ,early,early,JJ,5
ASHPUTTEL,1,1,3,"('before', 'IN')",IN,before,before,IN,6
ASHPUTTEL,1,1,4,"('daylight', 'NN')",NN,daylight,daylight,NN,8
ASHPUTTEL,1,1,5,"(',', ',')",",",",",,",",1
ASHPUTTEL,1,1,6,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,1,1,7,"('bring', 'VB')",VB,bring,bring,VB,5
ASHPUTTEL,1,1,8,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,1,1,9,"('water', 'NN')",NN,water,water,NN,5
ASHPUTTEL,1,1,10,"(',', ',')",",",",",,",",1
ASHPUTTEL,1,1,11,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,1,1,12,"('make', 'VB')",VB,make,make,VB,4
ASHPUTTEL,1,1,13,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,1,1,14,"('fire', 'NN')",NN,fire,fire,NN,4
ASHPUTTEL,1,1,15,"(',', ',')",",",",",,",",1
ASHPUTTEL,1,1,16,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,1,1,17,"('cook', 'VB')",VB,cook,cook,VB,4
ASHPUTTEL,1,1,18,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,1,1,19,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,1,1,20,"('wash', 'VB')",VB,wash,wash,VB,4
ASHPUTTEL,1,2,0,"('Besides', 'IN')",IN,Besides,besides,IN,7
ASHPUTTEL,1,2,1,"('that', 'DT')",DT,that,that,DT,4
ASHPUTTEL,1,2,2,"(',', ',')",",",",",,",",1
ASHPUTTEL,1,2,3,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,1,2,4,"('sisters', 'NNS')",NNS,sisters,sisters,NN,7
ASHPUTTEL,1,2,5,"('plagued', 'VBD')",VBD,plagued,plagued,VB,7
ASHPUTTEL,1,2,6,"('her', 'PRP')",PRP,her,her,PR,3
ASHPUTTEL,1,2,7,"('in', 'IN')",IN,in,in,IN,2
ASHPUTTEL,1,2,8,"('all', 'DT')",DT,all,all,DT,3
ASHPUTTEL,1,2,9,"('sorts', 'NNS')",NNS,sorts,sorts,NN,5
ASHPUTTEL,1,2,10,"('of', 'IN')",IN,of,of,IN,2
ASHPUTTEL,1,2,11,"('ways', 'NNS')",NNS,ways,ways,NN,4
ASHPUTTEL,1,2,12,"(',', ',')",",",",",,",",1
ASHPUTTEL,1,2,13,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,1,2,14,"('laughed', 'VBD')",VBD,laughed,laughed,VB,7
ASHPUTTEL,1,2,15,"('at', 'IN')",IN,at,at,IN,2
ASHPUTTEL,1,2,16,"('her', 'PRP$')",PRP$,her,her,PR,3
ASHPUTTEL,1,3,0,"('In', 'IN')",IN,In,in,IN,2
ASHPUTTEL,1,3,1,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,1,3,2,"('evening', 'NN')",NN,evening,evening,NN,7
ASHPUTTEL,1,3,3,"('when', 'WRB')",WRB,when,when,WR,4
ASHPUTTEL,1,3,4,"('she', 'PRP')",PRP,she,she,PR,3
ASHPUTTEL,1,3,5,"('was', 'VBD')",VBD,was,was,VB,3
ASHPUTTEL,1,3,6,"('tired', 'VBN')",VBN,tired,tired,VB,5
ASHPUTTEL,1,3,7,"(',', ',')",",",",",,",",1
ASHPUTTEL,1,3,8,"('she', 'PRP')",PRP,she,she,PR,3
ASHPUTTEL,1,3,9,"('had', 'VBD')",VBD,had,had,VB,3
ASHPUTTEL,1,3,10,"('no', 'DT')",DT,no,no,DT,2
ASHPUTTEL,1,3,11,"('bed', 'NN')",NN,bed,bed,NN,3
ASHPUTTEL,1,3,12,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,1,3,13,"('lie', 'VB')",VB,lie,lie,VB,3
ASHPUTTEL,1,3,14,"('down', 'RP')",RP,down,down,RP,4
ASHPUTTEL,1,3,15,"('on', 'IN')",IN,on,on,IN,2
ASHPUTTEL,1,3,16,"(',', ',')",",",",",,",",1
ASHPUTTEL,1,3,17,"('but', 'CC')",CC,but,but,CC,3
ASHPUTTEL,1,3,18,"('was', 'VBD')",VBD,was,was,VB,3
ASHPUTTEL,1,3,19,"('made', 'VBN')",VBN,made,made,VB,4
ASHPUTTEL,1,3,20,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,1,3,21,"('lie', 'VB')",VB,lie,lie,VB,3
ASHPUTTEL,1,3,22,"('by', 'IN')",IN,by,by,IN,2
ASHPUTTEL,1,3,23,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,1,3,24,"('hearth', 'NN')",NN,hearth,hearth,NN,6
ASHPUTTEL,1,3,25,"('among', 'IN')",IN,among,among,IN,5
ASHPUTTEL,1,3,26,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,1,3,27,"('ashes', 'NNS')",NNS,ashes,ashes,NN,5
ASHPUTTEL,1,4,0,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,1,4,1,"('as', 'IN')",IN,as,as,IN,2
ASHPUTTEL,1,4,2,"('this', 'DT')",DT,this,this,DT,4
ASHPUTTEL,1,4,3,"(',', ',')",",",",",,",",1
ASHPUTTEL,1,4,4,"('of', 'IN')",IN,of,of,IN,2
ASHPUTTEL,1,4,5,"('course', 'NN')",NN,course,course,NN,6
ASHPUTTEL,1,4,6,"(',', ',')",",",",",,",",1
ASHPUTTEL,1,4,7,"('made', 'VBD')",VBD,made,made,VB,4
ASHPUTTEL,1,4,8,"('her', 'PRP$')",PRP$,her,her,PR,3
ASHPUTTEL,1,4,9,"('always', 'RB')",RB,always,always,RB,6
ASHPUTTEL,1,4,10,"('dusty', 'JJ')",JJ,dusty,dusty,JJ,5
ASHPUTTEL,1,4,11,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,1,4,12,"('dirty', 'NN')",NN,dirty,dirty,NN,5
ASHPUTTEL,1,4,13,"(',', ',')",",",",",,",",1
ASHPUTTEL,1,4,14,"('they', 'PRP')",PRP,they,they,PR,4
ASHPUTTEL,1,4,15,"('called', 'VBD')",VBD,called,called,VB,6
ASHPUTTEL,1,4,16,"('her', 'PRP')",PRP,her,her,PR,3
ASHPUTTEL,1,4,17,"('Ashputtel', 'NNP')",NNP,Ashputtel,ashputtel,NN,9
ASHPUTTEL,2,0,0,"('It', 'PRP')",PRP,It,it,PR,2
ASHPUTTEL,2,0,1,"('happened', 'VBD')",VBD,happened,happened,VB,8
ASHPUTTEL,2,0,2,"('once', 'RB')",RB,once,once,RB,4
ASHPUTTEL,2,0,3,"('that', 'IN')",IN,that,that,IN,4
ASHPUTTEL,2,0,4,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,2,0,5,"('father', 'NN')",NN,father,father,NN,6
ASHPUTTEL,2,0,6,"('was', 'VBD')",VBD,was,was,VB,3
ASHPUTTEL,2,0,7,"('going', 'VBG')",VBG,going,going,VB,5
ASHPUTTEL,2,0,8,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,2,0,9,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,2,0,10,"('fair', 'NN')",NN,fair,fair,NN,4
ASHPUTTEL,2,0,11,"(',', ',')",",",",",,",",1
ASHPUTTEL,2,0,12,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,2,0,13,"('asked', 'VBD')",VBD,asked,asked,VB,5
ASHPUTTEL,2,0,14,"('his', 'PRP$')",PRP$,his,his,PR,3
ASHPUTTEL,2,0,15,"('wife', 'NN')",NN,wife,wife,NN,4
ASHPUTTEL,2,0,16,"('’', 'NNP')",NNP,’,,NN,1
ASHPUTTEL,2,0,17,"('s', 'NN')",NN,s,s,NN,1
ASHPUTTEL,2,0,18,"('daughters', 'NNS')",NNS,daughters,daughters,NN,9
ASHPUTTEL,2,0,19,"('what', 'WP')",WP,what,what,WP,4
ASHPUTTEL,2,0,20,"('he', 'PRP')",PRP,he,he,PR,2
ASHPUTTEL,2,0,21,"('should', 'MD')",MD,should,should,MD,6
ASHPUTTEL,2,0,22,"('bring', 'VB')",VB,bring,bring,VB,5
ASHPUTTEL,2,0,23,"('them', 'PRP')",PRP,them,them,PR,4
ASHPUTTEL,2,1,0,"('‘', 'JJ')",JJ,‘,,JJ,1
ASHPUTTEL,2,1,1,"('Fine', 'NNP')",NNP,Fine,fine,NN,4
ASHPUTTEL,2,1,2,"('clothes', 'NNS')",NNS,clothes,clothes,NN,7
ASHPUTTEL,2,1,3,"(',', ',')",",",",",,",",1
ASHPUTTEL,2,1,4,"('’', 'NNP')",NNP,’,,NN,1
ASHPUTTEL,2,1,5,"('said', 'VBD')",VBD,said,said,VB,4
ASHPUTTEL,2,1,6,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,2,1,7,"('first', 'JJ')",JJ,first,first,JJ,5
ASHPUTTEL,2,2,0,"('‘', 'JJ')",JJ,‘,,JJ,1
ASHPUTTEL,2,2,1,"('Pearls', 'NNP')",NNP,Pearls,pearls,NN,6
ASHPUTTEL,2,2,2,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,2,2,3,"('diamonds', 'NNS')",NNS,diamonds,diamonds,NN,8
ASHPUTTEL,2,2,4,"(',', ',')",",",",",,",",1
ASHPUTTEL,2,2,5,"('’', 'NNP')",NNP,’,,NN,1
ASHPUTTEL,2,2,6,"('cried', 'VBD')",VBD,cried,cried,VB,5
ASHPUTTEL,2,2,7,"('the', 'DT')",DT,the,the,DT,3
